ticker,company,sector,industry,pe,fwd_pe,eps_qq,sales_qq,insider_trans,inst_trans,short_float,perf_quarter,perf_half,beta,pct_from_52w_high,recom,avg_volume,rel_volume,price,earnings,target_price,market_cap
ALSN,Allison Transmission Holdings Inc,Consumer Cyclical,Auto Parts,18.59,10.7,-6.07,92.38,-4.78,-0.58,3.39,-1.68,4.38,0.98,-14.91,2.2,1050000.0,2.63,117.1,Aug 03/a,144.09,9670000000.0
ALT,Altimmune Inc,Healthcare,Biotechnology,,,54.71,-100.0,0.45999999999999996,36.33,27.06,20.37,-4.97,0.04,-49.53,1.33,4460000.0,2.73,3.25,Aug 12/b,17.12,632180000.0
ALTO,Alto Ingredients Inc,Basic Materials,Specialty Chemicals,6.01,12.12,197.43,12.48,0.93,6.49,9.25,-20.32,-11.5,0.14,-34.48,1.0,2110000.0,1.51,4.0,Aug 05/a,9.0,310270000.0
ALXO,Alx Oncology Holdings Inc,Healthcare,Biotechnology,,,72.71,,-0.04,14.63,7.23,11.11,-22.37,0.45,-36.09,1.29,1220000.0,4.15,1.7,Aug 06/b,4.6,235070000.0
AMBA,Ambarella Inc,Technology,Semiconductor Equipment & Materials,,62.46,67.66,13.209999999999999,-5.0,-2.1,10.37,-5.46,18.42,2.39,-31.59,1.83,1830000.0,0.78,66.15,Sep 03/a,91.33,2920000000.0
AMBQ,Ambiq Micro Inc,Technology,Semiconductors,,,29.770000000000003,89.68,-11.08,35.04,9.04,-27.65,152.64,5.41,-28.54,1.67,564870.0,5.0,65.46,Aug 11/b,85.67,1580000000.0
AMC,AMC Entertainment Holdings Inc,Communication Services,Entertainment,,,-46.3,14.219999999999999,4.9,27.32,4.23,-4.59,162.14,2.01,-15.09,2.33,37770000.0,1.79,2.7,Jul 20/b,2.97,2410000000.0
AMCX,AMC Global Media Inc,Communication Services,Entertainment,,4.8,-155.88,-8.75,-0.08,3.07,24.26,23.08,73.49,1.39,-10.87,3.75,624990.0,3.71,11.52,Jul 30/b,9.8,475200000.0
AMIX,Autonomix Medical Inc,Healthcare,Medical Devices,,,77.77,,0.0,4.67,3.26,-44.95,-51.81,-0.99,-87.07,1.0,4510000.0,0.01,4.21,Sep 02,58.8,8250000.0
AMLX,Amylyx Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,,,16.0,,-0.61,0.2,11.99,106.83,130.68,-0.11,-21.22,1.25,2460000.0,0.83,32.41,Aug 06/b,42.36,4070000000.0000005
AMN,AMN Healthcare Services Inc,Healthcare,Medical Care Facilities,12.78,36.58,117.60999999999999,2.29,-0.96,8.76,8.92,10.59,87.11,0.41,-7.95,2.44,755470.0,1.42,34.26,Aug 06/a,36.14,1330000000.0
AMPG,Amplitech Group Inc,Technology,Communication Equipment,,42.5,-39.38,-26.810000000000002,-2.9,2.23,16.05,-62.18,31.269999999999996,-0.27,-66.37,1.0,2360000.0,0.22,3.4,Aug 13/a,7.0,102150000.0
AMPL,Amplitude Inc,Technology,Software - Application,,76.49,-42.49,21.16,-1.28,-3.09,8.88,102.14000000000001,83.08,1.5,-10.57,1.58,2100000.0,0.91,13.2,Aug 05/a,13.77,1650000000.0
AMPX,Amprius Technologies Inc,Industrials,Electrical Equipment & Parts,,202.13,32.31,125.87000000000002,-17.89,9.08,17.0,-41.25,-50.29,2.35,-60.78,1.0,5980000.0,0.81,9.5,Aug 04/a,23.7,1390000000.0
AMPY,Amplify Energy Corp,Energy,Oil & Gas E&P,9.35,10.47,168.67,-22.93,0.24,-3.09,12.49,8.96,-28.800000000000004,0.07,-33.73,1.0,821720.0,0.69,4.5,Aug 10/a,7.75,186550000.0
AMRC,Ameresco Inc,Industrials,Engineering & Construction,45.61,14.2,-25.72,9.14,0.25,3.35,15.61,-17.07,-11.48,2.6,-47.14,1.67,662580.0,1.86,23.75,Aug 03/a,42.7,1260000000.0
AMRX,Amneal Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,39.04,15.66,152.81,9.89,-0.25,0.9000000000000001,7.36,15.42,51.62,1.23,-2.86,1.14,1990000.0,3.33,18.71,Jul 30/b,22.0,5980000000.0
