date,horizon,signal,q,median,mean
2026-08-14,20,squeeze,4,-0.055119221072002844,-0.03789874902521926
2026-08-14,20,squeeze,5,-0.04269179821261265,-0.03830165827380767
2026-08-14,20,composite,1,-0.09113164220881032,-0.08433958987732128
2026-08-14,20,composite,2,-0.05038821873404137,-0.042856087764027044
2026-08-14,20,composite,3,-0.051881005445015727,-0.05665403123370418
2026-08-14,20,composite,4,-0.0483516607501015,-0.03475753302737242
2026-08-14,20,composite,5,-0.05140315393097733,-0.04870288854257314
2026-08-14,20,mom5,1,-0.0630416089505968,-0.059014467512588445
2026-08-14,20,mom5,2,-0.05429407936075187,-0.04653046555396127
2026-08-14,20,mom5,3,-0.05384738652568566,-0.04267804951779156
2026-08-14,20,mom5,4,-0.05071220792569714,-0.047410670146889475
2026-08-14,20,mom5,5,-0.07345426148477019,-0.07160928549397926
2026-08-14,20,mom60_skip5,1,-0.0932971128967961,-0.07188802893357925
2026-08-14,20,mom60_skip5,2,-0.06155635201428444,-0.04775235647850465
2026-08-14,20,mom60_skip5,3,-0.05362660422937143,-0.04951370610508976
2026-08-14,20,mom60_skip5,4,-0.044192419818117834,-0.05654116786020168
2026-08-14,20,mom60_skip5,5,-0.04757303817632552,-0.04233371623479617
2026-08-14,20,mom60_riskadj,1,-0.0693557498999886,-0.055148209337971384
2026-08-14,20,mom60_riskadj,2,-0.0743211269588186,-0.06791841646428481
2026-08-14,20,mom60_riskadj,3,-0.059865055019066804,-0.05527248013834484
2026-08-14,20,mom60_riskadj,4,-0.05330354856443614,-0.059364124564188867
2026-08-14,20,mom60_riskadj,5,-0.03605437984950677,-0.03032574510738161
2026-08-14,20,vol_5_50,1,-0.07244779184241568,-0.07066959439085721
2026-08-14,20,vol_5_50,2,-0.06826087691025834,-0.05804620559535873
2026-08-14,20,vol_5_50,3,-0.05239543689292753,-0.04499340073345221
2026-08-14,20,vol_5_50,4,-0.03615198058590302,-0.0418144846102923
2026-08-14,20,vol_5_50,5,-0.05775320222172908,-0.05233203319465616
2026-08-14,20,squeeze_own,1,-0.056436502662357946,-0.0553003950208105
2026-08-14,20,squeeze_own,2,-0.0495820790390209,-0.04939059330634133
2026-08-14,20,squeeze_own,3,-0.04366848700762882,-0.04945550341666797
2026-08-14,20,squeeze_own,4,-0.08005790069650187,-0.07534313444016817
2026-08-14,20,squeeze_own,5,-0.05680546108474027,-0.03808987734480354
2026-08-14,20,low_vol,1,-0.11784241581849292,-0.0924132691066044
2026-08-14,20,low_vol,2,-0.07391412685295912,-0.061257666662212516
2026-08-14,20,low_vol,3,-0.0551723623861633,-0.019707398951682876
2026-08-14,20,low_vol,4,-0.05885897747884894,-0.05767813957897535
2026-08-14,20,low_vol,5,-0.038481154563065445,-0.0360760281057055
2026-08-14,20,near_high,1,-0.11726381202737113,-0.09586730543670208
