date,horizon,signal,ic
2026-06-26,10,squeeze,0.2186214882948121
2026-06-26,10,composite,0.2055112616078644
2026-06-26,10,mom5,0.28664372759503415
2026-06-26,10,mom60_skip5,-0.1992824319971896
2026-06-26,10,mom60_riskadj,-0.18263893367374023
2026-06-26,10,vol_5_50,0.12938759413029807
2026-06-26,10,squeeze_own,0.0064823014994625505
2026-06-26,10,low_vol,0.2544698295998503
2026-06-26,10,near_high,0.16059803853053753
2026-06-26,10,vs_sma50,0.04230125728299695
2026-06-26,10,vs_sma20,0.16453768034226673
2026-06-26,10,rule5,0.21412036580389363
2026-06-26,10,rule5_mom20,0.20838347569603333
2026-06-26,20,mom20,0.18277180360329845
2026-06-26,20,vol_ratio,0.19116383010094287
2026-06-26,20,squeeze,0.29666436718558753
2026-06-26,20,composite,0.2876347605158248
2026-06-26,20,mom5,0.33054099439431145
2026-06-26,20,mom60_skip5,-0.20129786833490781
2026-06-26,20,mom60_riskadj,-0.17031257906621594
2026-06-26,20,vol_5_50,0.164902065937714
2026-06-26,20,squeeze_own,0.011740663942039214
2026-06-26,20,low_vol,0.35698040818435506
2026-06-26,20,near_high,0.25458958998513026
2026-06-26,20,vs_sma50,0.08176083355604426
2026-06-26,20,vs_sma20,0.2193071123069138
2026-06-26,20,rule5,0.2999476775788558
2026-06-26,20,rule5_mom20,0.29856017734735674
2026-07-02,5,mom20,0.06837152317152596
2026-07-02,5,vol_ratio,0.039593772394078915
2026-07-02,5,squeeze,0.1563773501601507
2026-07-02,5,composite,0.13133035836084622
2026-07-02,5,mom5,-0.06329379163243151
2026-07-02,5,mom60_skip5,0.004678944689658606
2026-07-02,5,mom60_riskadj,0.014956873491207029
2026-07-02,5,vol_5_50,0.06578846600437332
2026-07-02,5,squeeze_own,-0.03934888068915383
2026-07-02,5,low_vol,0.24640882971685416
2026-07-02,5,near_high,0.14767486439683614
2026-07-02,5,vs_sma50,0.06453319376832646
2026-07-02,5,vs_sma20,0.00835033015161346
2026-07-02,5,rule5,0.18215051455878678
2026-07-02,5,rule5_mom20,0.16992535224623362
2026-07-02,10,mom20,0.22064338139139736
2026-07-02,10,vol_ratio,0.04273966622259892
2026-07-02,10,squeeze,0.265747777301415
2026-07-02,10,composite,0.2705369548287754
2026-07-02,10,mom5,0.028130332089413995
2026-07-02,10,mom60_skip5,-0.043774135043918645
2026-07-02,10,mom60_riskadj,-0.02338403055247613
2026-07-02,10,vol_5_50,0.1408024521179198
2026-07-02,10,squeeze_own,-0.06974135181711277
2026-07-02,10,low_vol,0.39616605678523437
2026-07-02,10,near_high,0.30252537387822
2026-07-02,10,vs_sma50,0.1689957114125195
2026-07-02,10,vs_sma20,0.16138740390499248
2026-07-02,10,rule5,0.3301479808233192
2026-07-02,10,rule5_mom20,0.3294687445280572
2026-07-02,20,mom20,0.18355494896804977
2026-07-02,20,vol_ratio,0.06574553659081724
2026-07-02,20,squeeze,0.27116956289958366
2026-07-02,20,composite,0.25300774150005306
2026-07-02,20,mom5,0.0413355317495585
2026-07-02,20,mom60_skip5,-0.1302354615368882
2026-07-02,20,mom60_riskadj,-0.11076067655304786
2026-07-02,20,vol_5_50,0.16406074447571342
2026-07-02,20,squeeze_own,-0.056425428849774834
2026-07-02,20,low_vol,0.3864192125213102
2026-07-02,20,near_high,0.24349958436369193
2026-07-02,20,vs_sma50,0.10235884693211686
2026-07-02,20,vs_sma20,0.12831967846343675
2026-07-02,20,rule5,0.2943529584111056
2026-07-02,20,rule5_mom20,0.28970789148263265
2026-07-10,5,mom20,0.2126181868144204
2026-07-10,5,vol_ratio,0.06219216140613665
2026-07-10,5,squeeze,0.28207636528139307
2026-07-10,5,composite,0.27504580213994567
2026-07-10,5,mom5,0.2379536220499071
2026-07-10,5,mom60_skip5,-0.011623041556252668
2026-07-10,5,mom60_riskadj,0.01673779411911569
2026-07-10,5,vol_5_50,0.12377438451800052
2026-07-10,5,squeeze_own,-0.0445756085994445
2026-07-10,5,low_vol,0.36333737852754205
2026-07-10,5,near_high,0.3716544448722847
2026-07-10,5,vs_sma50,0.24116432476919916
2026-07-10,5,vs_sma20,0.3053591879587781
