date,horizon,signal,partial_ic
2026-05-29,5,vol_5_50,-0.01283525518608205
2026-05-29,5,squeeze_own,-0.06904880115405237
2026-05-29,5,near_high,0.13334070962426084
2026-05-29,5,vs_sma50,0.01925418257145449
2026-05-29,5,vs_sma20,-0.02602227627040018
2026-05-29,5,rule5,0.0828485774616154
2026-05-29,5,rule5_mom20,0.058938307998076
2026-05-29,10,mom20,-0.00027019184113457917
2026-05-29,10,vol_ratio,0.017189146802026052
2026-05-29,10,squeeze,0.022569080143628246
2026-05-29,10,composite,0.030552945958515168
2026-05-29,10,mom5,-0.07913885681131934
2026-05-29,10,mom60_skip5,0.09790158516011718
2026-05-29,10,mom60_riskadj,0.10944403095973365
2026-05-29,10,vol_5_50,-0.015450929850756107
2026-05-29,10,squeeze_own,-0.04389129040029187
2026-05-29,10,near_high,0.15149946417009877
2026-05-29,10,vs_sma50,0.05753090838218865
2026-05-29,10,vs_sma20,-0.023861151530835956
2026-05-29,10,rule5,0.09266453326502294
2026-05-29,10,rule5_mom20,0.0748662951963473
2026-05-29,20,mom20,0.050612935160197804
2026-05-29,20,vol_ratio,0.0690533919838687
2026-05-29,20,squeeze,0.0067343640079520015
2026-05-29,20,composite,0.08380984830664369
2026-05-29,20,mom5,0.0446953115446057
2026-05-29,20,mom60_skip5,0.037187739374211395
2026-05-29,20,mom60_riskadj,0.0502623207215707
2026-05-29,20,vol_5_50,-0.0026063007309289608
2026-05-29,20,squeeze_own,-0.023848113888309496
2026-05-29,20,near_high,0.11259525319595795
2026-05-29,20,vs_sma50,0.06757252019344627
2026-05-29,20,vs_sma20,0.06994638057785277
2026-05-29,20,rule5,0.09659989026952738
2026-05-29,20,rule5_mom20,0.09069220734648213
2026-06-05,5,mom20,-0.009733733545737233
2026-06-05,5,vol_ratio,-0.019946387934261966
2026-06-05,5,squeeze,0.018676517863942615
2026-06-05,5,composite,-0.008043006241753062
2026-06-05,5,mom5,0.06607647032758236
2026-06-05,5,mom60_skip5,0.06458371996815848
2026-06-05,5,mom60_riskadj,0.06903260701083128
2026-06-05,5,vol_5_50,0.008368151233905259
2026-06-05,5,squeeze_own,-0.0006906609148721461
2026-06-05,5,near_high,0.07213207524219457
2026-06-05,5,vs_sma50,0.036291449106921364
2026-06-05,5,vs_sma20,-0.0024925501779658903
2026-06-05,5,rule5,0.0449552776428215
2026-06-05,5,rule5_mom20,0.036346576963358856
2026-06-05,10,mom20,-0.019563876533307892
2026-06-05,10,vol_ratio,0.0334821749441983
2026-06-05,10,squeeze,0.03475569280498841
2026-06-05,10,composite,-0.001442747459440471
2026-06-05,10,mom5,0.017002807633414007
2026-06-05,10,mom60_skip5,0.07354931811037593
2026-06-05,10,mom60_riskadj,0.07695096896118811
2026-06-05,10,vol_5_50,0.041556728482831845
2026-06-05,10,squeeze_own,0.0076377742618066085
2026-06-05,10,near_high,-0.002975120948135233
2026-06-05,10,vs_sma50,0.016535640110009738
2026-06-05,10,vs_sma20,-0.05809924285875876
2026-06-05,10,rule5,0.030250446835480387
2026-06-05,10,rule5_mom20,0.009760884161008466
2026-06-05,20,mom20,-0.03417253849757915
2026-06-05,20,vol_ratio,-0.0540487998840025
2026-06-05,20,squeeze,0.017517496086023536
2026-06-05,20,composite,-0.0758181080535143
2026-06-05,20,mom5,0.06571516376111128
2026-06-05,20,mom60_skip5,-0.05180509606760683
2026-06-05,20,mom60_riskadj,-0.04289527661801189
2026-06-05,20,vol_5_50,0.036295011425668995
2026-06-05,20,squeeze_own,-0.0287342768912494
2026-06-05,20,near_high,0.011716553114492384
2026-06-05,20,vs_sma50,0.0014527131464389044
2026-06-05,20,vs_sma20,0.09280388627510636
2026-06-05,20,rule5,-0.015476796737208184
2026-06-05,20,rule5_mom20,-0.027740969143881085
2026-06-12,5,mom20,-0.004256346971755551
2026-06-12,5,vol_ratio,0.021684863041360494
2026-06-12,5,squeeze,0.040066045716183156
2026-06-12,5,composite,0.005479704623627066
2026-06-12,5,mom5,0.0668421739311562
2026-06-12,5,mom60_skip5,0.0800049712082934
2026-06-12,5,mom60_riskadj,0.08056669346626928
2026-06-12,5,vol_5_50,-0.0023539754423940284
2026-06-12,5,squeeze_own,0.012484029007668427
2026-06-12,5,near_high,-0.014319389890831665
2026-06-12,5,vs_sma50,0.044954658515904106
2026-06-12,5,vs_sma20,-0.029551894982525667
2026-06-12,5,rule5,0.02352511312488359
