date,horizon,signal,ic_magnitude
2026-05-29,10,near_high,0.16135193623434474
2026-05-29,10,vs_sma50,0.04850547690430822
2026-05-29,10,vs_sma20,-0.01347715840547055
2026-05-29,10,rule5,0.12783791451474477
2026-05-29,10,rule5_mom20,0.11122414339962851
2026-05-29,20,mom20,0.029604889254646074
2026-05-29,20,vol_ratio,0.06854492452437266
2026-05-29,20,squeeze,0.06791814084692488
2026-05-29,20,composite,0.08753643791482223
2026-05-29,20,mom5,0.05279931258703633
2026-05-29,20,mom60_skip5,0.013159306786358306
2026-05-29,20,mom60_riskadj,0.02712949055939707
2026-05-29,20,vol_5_50,-0.019375521246204005
2026-05-29,20,squeeze_own,0.005280168686418787
2026-05-29,20,low_vol,0.08838610188435418
2026-05-29,20,near_high,0.11721999876932697
2026-05-29,20,vs_sma50,0.043009018546323705
2026-05-29,20,vs_sma20,0.05781781195032076
2026-05-29,20,rule5,0.09942527185209862
2026-05-29,20,rule5_mom20,0.09362127229608776
2026-06-05,5,mom20,-0.0035736295693840577
2026-06-05,5,vol_ratio,-0.038607112660140955
2026-06-05,5,squeeze,0.060707427086591915
2026-06-05,5,composite,0.01504812571028032
2026-06-05,5,mom5,0.08420632572409281
2026-06-05,5,mom60_skip5,0.04491867245594538
2026-06-05,5,mom60_riskadj,0.0500090039219754
2026-06-05,5,vol_5_50,2.1712165104276423e-05
2026-06-05,5,squeeze_own,0.04090904027263278
2026-06-05,5,low_vol,0.0636869869641522
2026-06-05,5,near_high,0.08431341912874445
2026-06-05,5,vs_sma50,0.027759280155745268
2026-06-05,5,vs_sma20,0.016614934282455585
2026-06-05,5,rule5,0.061207303941054954
2026-06-05,5,rule5_mom20,0.052898316233032434
2026-06-05,10,mom20,0.009007594584422152
2026-06-05,10,vol_ratio,0.029228229134973693
2026-06-05,10,squeeze,-0.018737782537078182
2026-06-05,10,composite,0.0033765196554307302
2026-06-05,10,mom5,0.005083645928853441
2026-06-05,10,mom60_skip5,0.08655449191571918
2026-06-05,10,mom60_riskadj,0.08746854509789369
2026-06-05,10,vol_5_50,0.033430898287892585
2026-06-05,10,squeeze_own,0.017441304451602475
2026-06-05,10,low_vol,-0.044625999420472115
2026-06-05,10,near_high,-0.009564893980506634
2026-06-05,10,vs_sma50,0.028857243383101222
2026-06-05,10,vs_sma20,-0.04633454416096278
2026-06-05,10,rule5,-0.0021722952905980464
2026-06-05,10,rule5_mom20,-0.0053040119762596755
2026-06-05,20,mom20,-0.0302915876901503
2026-06-05,20,vol_ratio,-0.009707795396217838
2026-06-05,20,squeeze,0.12379934447932768
2026-06-05,20,composite,0.016795136994325714
2026-06-05,20,mom5,0.10173502296542816
2026-06-05,20,mom60_skip5,-0.0456639423237893
2026-06-05,20,mom60_riskadj,-0.03566790844048578
2026-06-05,20,vol_5_50,0.03810286706199883
2026-06-05,20,squeeze_own,0.019579555246787537
2026-06-05,20,low_vol,0.15464536374977297
2026-06-05,20,near_high,0.0795830914401254
2026-06-05,20,vs_sma50,-0.00011402926787353707
2026-06-05,20,vs_sma20,0.10033043117868817
2026-06-05,20,rule5,0.09204635905912568
2026-06-05,20,rule5_mom20,0.06555468700694539
2026-06-12,5,mom20,0.01159683771883733
2026-06-12,5,vol_ratio,-0.025530247011462934
2026-06-12,5,squeeze,-0.07428271068169805
2026-06-12,5,composite,-0.043159275036871995
2026-06-12,5,mom5,0.03283434842489584
